"","Catch","SSB","F"
"ES-FM-M",1.03868802418606,1.57795919592311,0.621788931635737
"ES-FSPR-M",1.03610467698563,1.58096502821013,0.616400928011478
"Ensemble-M",0.962569241165299,1.66646984459568,0.581597782067753
"Islope-M",0.792609141443681,1.57608154097408,0.627213470373185
"ES-Frecent-M",0.757610305968269,1.77530973311847,0.489208800336181
"Itarget-M",0.766216611563432,1.73851822796282,0.419474721366864
"PBS-M",0.721201540276284,1.90212704498691,0.414853376537637
"SCAA-M",0.662025601027969,2.13754830485362,0.248537200395364
"DLM-M",0.588089596218741,2.05096380020489,0.338179532094868
"CC-FM-M",0.38813422664872,2.37959390791589,0.166510886849664
"CC-FSPR-M",0.394141195545831,2.36325672257968,0.167030009312614
"CC-FM-Catch",0.591864622395733,1.14640790959824,0.667352918495631
"CC-FSPR-Catch",0.589846956120303,1.15795510939293,0.646219985046056
"PBS-Catch",0.578779525542078,1.17554251373467,0.782000429500746
"DLM-Catch",0.449707394298208,1.28621571372742,0.606562316289205
"Islope-Catch",0.611100139501122,0.869333538567498,1.20476020610044
"ES-Frecent-Catch",0.587743677782476,1.03593023225576,0.937494935446858
"AIM-M",1.14731843243273,1.37602406912543,0.878847227404561
"ES-Fstable-M",1.14142156825722,1.3785605720015,0.879706709871695
"Skate-M",1.20690672357601,1.20874254829043,1.28520543594271
"SCAA-Catch",0.956077724246223,0.592598401297537,1.8292125237204
"ES-FM-Catch",0.742807462664165,0.248656961798306,8.01206687590835
"ES-FSPR-Catch",0.743385693858341,0.253725504163956,7.89343705591923
"Skate-Catch",0.668510063756744,0.178475977991181,8.72985234370611
"AIM-Catch",0.871941917063847,0.311324848206756,5.75766065831317
"ES-Fstable-Catch",0.876468209638509,0.317365484447986,5.6800609212366
"Ensemble-Catch",0.775054754827955,0.418505905309809,4.62687718225721
"Itarget-Catch",0.977895617208264,0.51186215130639,4.10590479646558
