"","SSB","Catch","F"
"ES-Fstable-L",0.708746653293063,0.837227145076531,1.68828069729015
"AIM-L",0.698266780067114,0.834083119799492,1.69164101726363
"ES-FSPR-L",0.702090872683883,0.753897925821688,1.71206146726579
"ES-FM-L",0.705813550497877,0.752051399632659,1.81769675205377
"ES-FM-S",0.762793399634119,1.12916796573564,1.71396978790087
"ES-FSPR-S",0.765768640623406,1.13036312649603,1.70661387955297
"Itarget-L",1.0184004907616,0.894476722413396,1.62539920653339
"Ensemble-L",0.932074665307831,0.7319447386357,1.49500186369045
"Ensemble-S",0.9142999125119,1.05888875953785,1.30327699909545
"PBS-S",1.14434924846706,0.856012581996722,0.779815867152937
"DLM-S",1.14709417386212,0.796145688521755,0.735502745813711
"Itarget-S",0.938074130528775,0.833234726246422,0.787820569809985
"Islope-S",1.07765527554844,0.956767509506121,0.962357846230745
"ES-Frecent-S",1.11744734481689,0.899187087915304,0.849677322305469
"CC-FM-S",1.19194907156156,0.553138931768708,0.448165696260851
"CC-FSPR-S",1.19407367457366,0.550309273609984,0.442946142086801
"SCAA-S",0.992257916044526,0.623549286999001,0.471583671945279
"SCAA-L",1.54995724040591,0.845449491437703,0.558502165050121
"Islope-L",1.65588341180735,0.433554591265343,0.549612823785777
"CC-FM-L",2.66182842994828,0.33499722815886,0.137381845803601
"CC-FSPR-L",2.66254969687785,0.341059448052335,0.130441492917408
"DLM-L",2.65009670438012,0.108837368336108,0.048720677842686
"PBS-L",2.34264832026764,0.301367872960303,0.187776213496122
"ES-Frecent-L",2.1008252759092,0.353325835164474,0.283303333418581
"ES-Fstable-S",0.694282287481432,1.28337142472839,2.61059725904221
"AIM-S",0.6919677269694,1.28934543919097,2.57813332407504
"Skate-L",0.417831873172441,0.62448433578317,3.10277080288652
"Skate-S",0.595469389343962,1.39114627650793,4.31265860119603
