"PROPED","PROPING","IAV","IBMlab","Fhist","catch.mult"
0.15,0.5,0.45299475179652,"AIM",1,0.75
0.45,0.833333333333333,0.549707085303049,"AIM",1,1
0.333333333333333,0.666666666666667,0.384021927955329,"AIM",2,0.75
0.6,1,0.467885297950185,"AIM",2,1
0,0,0.603878517480205,"CC-FM",1,0.75
0,0.2,0.702452838290788,"CC-FM",1,1
0,0,0.484054040414011,"CC-FM",2,0.75
0,0,0.532637412709421,"CC-FM",2,1
0,0,0.601579257521156,"CC-FSPR",1,0.75
0,0.166666666666667,0.68144529858926,"CC-FSPR",1,1
0,0,0.487808221274543,"CC-FSPR",2,0.75
0,0,0.521401824024642,"CC-FSPR",2,1
0,0,0.312770059676538,"DLM",1,0.75
0,0,0.338190295845971,"DLM",1,1
0,0,0.314445101117097,"DLM",2,0.75
0.1,0.4,0.397753500321901,"DLM",2,1
0,0.25,0.259108058703676,"Ensemble",1,0.75
0.25,0.666666666666667,0.327899164730084,"Ensemble",1,1
0,0.35,0.251607214551955,"Ensemble",2,0.75
0.35,0.75,0.30602409451939,"Ensemble",2,1
0.333333333333333,0.833333333333333,0.421877247769349,"ES-FM",1,0.75
0.5,1,0.523703667588942,"ES-FM",1,1
0.1,0.5,0.343980313259657,"ES-FM",2,0.75
0.341666666666667,0.8,0.39369557258097,"ES-FM",2,1
0,0,0.273883770822858,"ES-Frecent",1,0.75
0,0.333333333333333,0.283041241441991,"ES-Frecent",1,1
0,0,0.285616670532646,"ES-Frecent",2,0.75
0.3,0.833333333333333,0.304357491089149,"ES-Frecent",2,1
0.333333333333333,0.833333333333333,0.433397737358146,"ES-FSPR",1,0.75
0.5,1,0.522111391717709,"ES-FSPR",1,1
0.15,0.45,0.340194985286355,"ES-FSPR",2,0.75
0.333333333333333,0.8,0.386149745612491,"ES-FSPR",2,1
0.15,0.5,0.456806069192013,"ES-Fstable",1,0.75
0.45,0.8,0.555942601299083,"ES-Fstable",1,1
0.333333333333333,0.666666666666667,0.390946005768232,"ES-Fstable",2,0.75
0.6,0.95,0.472520497377855,"ES-Fstable",2,1
0,0,0.0565002735971438,"Islope",1,0.75
0,0.65,0.154395580427953,"Islope",1,1
0,0,0.0634269526221174,"Islope",2,0.75
0.45,1,0.176120127435899,"Islope",2,1
0.15,0.4,0.515974453084461,"Itarget",1,0.75
0.3,0.5,0.643878412552205,"Itarget",1,1
0.2,0.3,0.587514665361709,"Itarget",2,0.75
0.333333333333333,0.4,0.672040876171516,"Itarget",2,1
0,0,0.163456016097973,"PBS",1,0.75
0,0,0.161035272194625,"PBS",1,1
0,0,0.166195087671379,"PBS",2,0.75
0.1,0.65,0.182598429165515,"PBS",2,1
0,0.125,0.305531024434324,"SCAA",1,0.75
0,0.25,0.366201460966079,"SCAA",1,1
0,0,0.212710148896261,"SCAA",2,0.75
0,0,0.239618090071425,"SCAA",2,1
0.5,1,0.436284608736942,"Skate",1,0.75
0.666666666666667,1,0.569299913927345,"Skate",1,1
0.5,1,0.356205992506109,"Skate",2,0.75
0.7,1,0.437344549624751,"Skate",2,1
