"PROPED","PROPING","IAV","IBMlab"
0.4,0.8,0.447865209763326,"AIM"
0,0,0.566952783150075,"CC-FM"
0,0,0.562918019553602,"CC-FSPR"
0,0,0.33097948238106,"DLM"
0.166666666666667,0.55,0.279675410742703,"Ensemble"
0.333333333333333,0.75,0.391202539010068,"ES-FM"
0,0,0.286121831811986,"ES-Frecent"
0.333333333333333,0.75,0.388693851407314,"ES-FSPR"
0.4,0.75,0.452793972500215,"ES-Fstable"
0,0.25,0.0842496210634702,"Islope"
0,0,0.167269739299049,"Ismooth"
0.25,0.35,0.607103105610304,"Itarget"
0,0,0.238508821904023,"SCAA"
0.65,1,0.423357342804892,"Skate"
