"","Islope","Itarget","Skate","ES-Frecent","ES-FSPR","ES-FM","AIM","DLM","CC-FM","PlanB","ES-Fstable","CC-FSPR","Ensemble"
"retro_type           ",0.097,0.428,0.808,0.08,0.691,0.69,0.541,0.064,0.134,0.066,0.532,0.134,0.447
"Fhist                ",0.015,0.043,0.003,0.019,0.087,0.086,0.001,0.042,0.046,0.024,0.001,0.042,0.008
"n_selblocks          ",0.026,0.001,0.027,0.016,0,0.011,0.001,0.005,0.01,0.014,0.002,0.008,0.011
"catch.mult           ",0.132,0.008,0.014,0.152,0.013,0.013,0.024,0.082,0.031,0.116,0.023,0.03,0.037
"time.avg             ",0.019,0.014,0.007,0.005,0.002,0.001,0.083,0.037,0.005,0,0.085,0.009,0.005
"Fhist:time.avg       ",0.021,0.037,0,0.013,0.001,0,0.009,0.017,0,0.011,0.009,0,0.002
"retro_type:Fhist     ",0.009,0.046,0.005,0.008,0.072,0.071,0.004,0.015,0.016,0.009,0.004,0.013,0.013
"retro_type:catch.mult",0.022,0.003,0,0.031,0.004,0.005,0.004,0.015,0.012,0.025,0.003,0.012,0.012
"retro_type:time.avg  ",0.008,0.038,0.003,0.003,0.002,0.002,0.061,0.005,0,0.001,0.061,0,0.006
"catch.mult:time.avg  ",0.042,0.001,0,0.043,0,0,0,0.002,0.005,0.029,0,0.003,0
"Fhist:catch.mult     ",0,0,0,0.001,0.001,0.002,0.002,0.007,0.001,0.002,0.002,0.001,0
"SS.frac.explained",0.391,0.618,0.869,0.369,0.874,0.881,0.732,0.29,0.259,0.3,0.723,0.252,0.542
